link,category,name,image,description,availability,mpn,sku,brand,price,condition,seller,full description
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/500GB-7200RPM/SEAGATE/ST500NM0011_190456.htm,Home/HARD DRIVES/SATA-6GBPS/500GB-7200RPM/ST500NM0011, Seagate Constellation ST500NM0011 500GB 7.2K SATA 6Gb/s 3.5&quot; HDD,http://www.serversuply.com//images/item/190456.jpg,SEAGATE ST500NM0011 CONSTELLATION ES 500GB 7200 RPM SATA-6BPS 64MB BUFFER 3.5 INCH LOW PROFILE (1.0 INCH) HARD DISK DRIVE. DELL OEM. ,IN STOCK,ST500NM0011,190456,SEAGATE,52,Refurbished,Sever Supply,"Detail overview
General Information
manufacturer: seagate Technology
manufacturer Part Number: st500nm0011
manufacturer Website Address: www.seagate.com
product Line: Constellation Es
product Name: Constellation Es 500gb Hard Drive

Technical Information
storage Capacity: 500gb
rotational Speed: 7200rpm

buffer: 64 Mbytes

interfaces/ports: Sata-6bps

Physical Characteristics
form Factor: 3.5 Inch
dimensions: 1.02 Height X 4.01 Width X 5.78 Depth

Condition : Dell Oem (refurbished).
availability : In Stock.
our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/1TB-7200RPM/SEAGATE/ST1000NM0011_189359.htm,Home/HARD DRIVES/SATA-6GBPS/1TB-7200RPM/ST1000NM0011, Seagate Constellation ES ST1000NM0011 1TB 7.2K SATA 6Gb/S 3.5&quot; Ref HDD,http://www.serversuply.com//images/item/189359.jpg,SEAGATE ST1000NM0011 CONSTELLATION ES 1TB 7200RPM SATA-6GBPS  64MB BUFFER 3.5INCH INTERNAL HARD DISK DRIVE. ,IN STOCK,ST1000NM0011,189359,SEAGATE,50,Refurbished,Sever Supply,"Detail overview
Specifications:
manufacturer : Seagate
manufacturer Part Number: St1000nm0011
mfg Website Address: Www.seagate.com
product Line : Constellation Es
interface : Sata-6gbps
cache : 64mb
capacity : 1tb
areal Density : 324gb/in2

Physical
height : 26.10mm
width : 101.85mm
length : 147.00mm
weight : 610g

Performance
spin Speed (rpm) : 7200 Rpm
sustained Data Transfer Rate : 147mb/s
average Latency : 4.16ms
random Read Seek Time : 8.5ms
random Write Seek Time : 9.5ms
i/o Data Transfer Rate : 600mb/s

Reliability
mtbf : 1,200,000 Hours

Condition : Refurbished.
Availability : In Stock.
Our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/ATA - IDE/320GB-7200RPM/SEAGATE/ST3320820NA_169847.htm,Home/HARD DRIVES/ATA - IDE/320GB-7200RPM/ST3320820NA, Seagate ST3320820NA 320GB 7200RPM ATA-IDE 3.5&quot; Low Profile HDD,http://www.serversuply.com//images/item/169847.jpg,SEAGATE ST3320820NA 320GB 7200RPM ATA-IDE 3.5INCH LOW PROFILE HARD DISK DRIVE. ,IN STOCK,ST3320820NA,169847,SEAGATE,45,Refurbished,Sever Supply,"Detail overview
general Information
Manufacturer: Seagate Technology
Manufacturer Part Number: St3320820na


technical Information
Storage Capacity: 320gb
Rotational Speed: 7200 Rpm
Interface : Ata-ide


physical Characteristics
Form Factor: 3.5 Inch X 1/3 H

condition : Refurbished.
availability : In Stock.
our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SAS-6GBPS/1TB-7200RPM/SEAGATE/ST91000640SS_180300.htm,Home/HARD DRIVES/SAS-6GBPS/1TB-7200RPM/ST91000640SS, Seagate Constellation.2 ST91000640SS 1TB 7.2K SAS 6Gb/S 2.5&quot; HDD,http://www.serversuply.com//images/item/180300.jpg,SEAGATE ST91000640SS CONSTELLATION.2 1TB 7200 RPM SAS-6GBITS 64 MB BUFFER 2.5 INCH INTERNAL HARD DISK DRIVE. DELL OEM. ,IN STOCK,ST91000640SS,180300,SEAGATE,55,New,Sever Supply,"Detail overview
Specifications:
manufacturer : Seagate
manufacturer Part Number: St91000640ss
mfg Website Address: Www.seagate.com
product Line : Constellation.2
interface : Sas-6gbits
cache : 64mb
capacity : 1-tb(1000 - Gb)

Physical:
compatible Drive Bay Width: 2.5
compatible Drive Bay Height: 1/3h
height: 1.7
width: 6.4
depth: 9.1
weight (approximate): 0.65 Lb

Performance:
maximum External Data Transfer Rate: 600 Mbps
rotational Speed: 7200 Rpm
buffer: 64 Mb

Condition : Refurbished (dell Oem).
availability : In Stock.
our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SAS-6GBPS/900GB-10000RPM/SEAGATE/ST900MM0006_195916.htm,Home/HARD DRIVES/SAS-6GBPS/900GB-10000RPM/ST900MM0006, Seagate Savvio 10K.6 ST900MM0006 900GB 10K RPM SAS 6Gb/S 2.5&quot; HDD,http://www.serversuply.com//images/item/195916.jpg,SEAGATE ST900MM0006 SAVVIO 900GB 10000RPM SAS 6GBITS 2.5INCH FORM FACTOR 64MB BUFFER HARD DISK DRIVE. DELL OEM.  ,IN STOCK,ST900MM0006,195916,SEAGATE,52,Refurbished,Sever Supply,"Detail overview
Specifications
model Number: st900mm0006
interface: sas 6gbits
cache: 64mb
capacity: 900gb

Performance:
spin Speed (rpm): 10000 Rpm
average Latency: 3.0ms
sustained Data Transfer Rate: 124mb/s
random Read Seek Time: 4.0ms
random Write Seek Time: 4.4ms

Physical:
height: 15.00mm (0.591 In)
width: 70.40mm (2.760 In)
length: 100.45mm (3.955 In)
weight: (typical) 212g (0.46 Lb)

Condition : Refurbished (dell Oem).
availability : In Stock.
our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SAS-12GBPS/600GB-10000RPM/SEAGATE/ST600MM0238_289830.htm,Home/HARD DRIVES/SAS-12GBPS/600GB-10000RPM/ST600MM0238, Seagate ST600MM0238 600GB 10K RPM SAS 12.0Gb/S 2.5&quot; Internal HDD ,http://www.serversuply.com//images/item/289830.jpg,SEAGATE ST600MM0238 600GB 10000RPM SAS-12GBPS 2.5INCH INTERNAL HARD DISK DRIVE. DELL OEM. ,IN STOCK,ST600MM0238,289830,SEAGATE,50,Refurbished,Sever Supply,"Detail overview
Specifications:
manufacturer : Seagate
manufacturer Part Number: St600mm0238
mfg Website Address: Www.seagate.com
interface : Sas-12gbps
capacity : 600 Gb
rotational Speed: 10000 Rpm
compatible Drive Bay Width: 2.5 Inch


Condition : Refurbished (dell Oem).
availability : Call.
our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/FIBRE CHANNEL/450GB-15000RPM/NETAPP/X291A-R5_192761.htm,Home/HARD DRIVES/FIBRE CHANNEL/450GB-15000RPM/X291A-R5, NetApp X291A-R5 450GB 15k 4GB fc Disk Drive for DS14MK4,http://www.serversuply.com//images/item/192761.jpg,NETAPP X291A-R5 450GB 15000RPM 4GBPS 64MB BUFFER 3.5INCH INTERNAL DISK DRIVE FOR DS14MK4 DS14MK2 DISK DRIVE SYSTEMS. ,IN STOCK,X291A-R5,192761,NETAPP,45,Refurbished,Sever Supply,"Detail overview
Netapp X291a-r5 450gb 15000rpm 4gbps 64mb Buffer 3.5inch Internal Disk Drive For Ds14mk4 Ds14mk2 Disk Drive Systems.

Compatible Platforms:
ds14mk4, Ds14mk2, Fas6000 , Fas3100 ,fas3000 ,fas2000 .


Condition : Refurbished.
Availability : In Stock
Our Warranty : 30 Days"
https://www.serversupply.com/HARD DRIVES/SAS-6GBPS/450GB-15000RPM/SEAGATE/ST3450857SS_136883.htm,Home/HARD DRIVES/SAS-6GBPS/450GB-15000RPM/ST3450857SS, Seagate Cheetah 15K.7 ST3450857SS 450GB 15000 RPM SAS 6Gb/s 3.5&quot; HDD,http://www.serversuply.com//images/item/136883.jpg,SEAGATE ST3450857SS CHEETAH 450GB 15000RPM SAS 6GBPS 16MB BUFFER 3.5INCH FORM FACTOR INTERNAL HARD DISK DRIVE. DELL OEM ,IN STOCK,ST3450857SS,136883,SEAGATE,50,New,Sever Supply,"Detail overview
Seagate - Cheetah 450gb 15000rpm Sas 6gbps 16mb Buffer 3.5 Inch Form Factor Internal Hard Disk Drive (st3450857ss).

Condition : Dell Oem(refurbished)
Availability : In Stock.
Our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SAS-6GBPS/600GB-10000RPM/SEAGATE/ST3600002SS_121640.htm,Home/HARD DRIVES/SAS-6GBPS/600GB-10000RPM/ST3600002SS, Seagate Cheetah NS.2 ST3600002SS 600GB 10000RPM SAS 6Gb/s 3.5&quot; HDD,http://www.serversuply.com//images/item/121640.jpg,SEAGATE CHEETAH ST3600002SS 600GB 10000RPM SAS-6GBPS 3.5INCH FORM FACTOR 16MB BUFFER INTERNAL HARD DISK DRIVE. ,IN STOCK,ST3600002SS,121640,SEAGATE,55,Refurbished,Sever Supply,"Detail overview
General Information
Manufacturer : Seagate Technology
Manufacturer Part Number : St3600002ss
Manufacturer Website Address : Www.seagate.com
Product Line : Cheetah
Product Name : Cheetah 10k.6 Hard Drive
Model Name : Cheetah 10k.6 600gb


Technical Information
Storage Capacity: 600gb
Rotational Speed: 10000 Rpm
Buffer : 16mbytes

Dimension And Weight
Depth: 14.7cm
Height: 2cm
Weight: 0.69kg
Width: 10.2cm

Storage Hard Drive
Average Seek Time: 3.8ms
Buffer Size: 16mb
Data Transfer Rate: 600mbps
Form Factor: 3.5inch X 1/3h
Hard Drive Type: Internal
Interface Type: Serial Attached Scsi 2
Spindle Speed: 10000rpm

Condition : Refurbished.
Availability : In Stock.
Our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SAS-6GBPS/500GB-7200RPM/SEAGATE/ST9500620SS_138931.htm,Home/HARD DRIVES/SAS-6GBPS/500GB-7200RPM/ST9500620SS, Seagate Constellation.2 ST9500620SS 500GB 7.2K SAS 6Gb/s 2.5&quot; HDD,http://www.serversuply.com//images/item/138931.jpg,SEAGATE ST9500620SS CONSTELLATION.2 500GB 7200 RPM SAS 6-GBPS 64 MB BUFFER 2.5 INCH INTERNAL HARD DISK DRIVE. DELL OEM. ,IN STOCK,ST9500620SS,138931,SEAGATE,50,Refurbished,Sever Supply,"Detail overview
Specifications:
manufacturer : Seagate
manufacturer Part Number: St9500620ss
mfg Website Address: Www.seagate.com
product Line : Constellation.2
interface : Sas 6-gbps
cache : 64mb
capacity : 500gb

Physical:
compatible Drive Bay Width: 2.5
compatible Drive Bay Height: 1/3h
height: 0.58
width: 2.76
depth: 3.96
weight (approximate): 6.46

Performance:
maximum External Data Transfer Rate: 600 Mbps
rotational Speed: 7200 Rpm
buffer: 64 Mb

Condition : Refurbished (dell Oem).
Availability : In Stock.
Our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SAS-6GBPS/1TB-7200RPM/SEAGATE/9JX244-150_205458.htm,Home/HARD DRIVES/SAS-6GBPS/1TB-7200RPM/9JX244-150, Seagate 9JX244-150 1TB 7.2k SAS 6Gbps 3.5&quot; hdd,http://www.serversuply.com//images/item/205458.jpg,SEAGATE 9JX244-150 1TB 7200RPM 16MB BUFFER NEAR LINE SAS-6GBPS 3.5INCH HARD DISK DRIVE. DELL OEM ,IN STOCK,9JX244-150,205458,SEAGATE,50,Refurbished,Sever Supply,"Detail overview
General Information:
Manufacturer : Seagate
Manufacturer Model Number : St31000424ss
Manufacturer Part Number : 9jx244-150
Device Type : Hard Drive


Technical Information:
Storage Capacity : 1 Tb
Rotational Speed : 7200 Rpm
Interfaces/ports : Serial Attached Scsi(sas-6gbps)
Form Factor : 3.5 Inch
Enclosure : Internal
Data Transfer Rate : 600 Mbps External


Condition : Dell Oem Refurbished.
availability : In Stock.
our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SAS-6GBPS/900GB-10000RPM/SEAGATE/ST900MM0006_191911.htm,Home/HARD DRIVES/SAS-6GBPS/900GB-10000RPM/ST900MM0006, Seagate Savvio 10K.6 ST900MM0006 900GB 10K RPM SAS 6Gb/S 2.5&quot; New HDD ,http://www.serversuply.com//images/item/191911.jpg,SEAGATE ST900MM0006 SAVVIO 900GB 10000RPM SAS 6GBITS 2.5INCH FORM FACTOR 64MB BUFFER HARD DISK DRIVE. ,IN STOCK,ST900MM0006,191911,SEAGATE,60,New,Sever Supply,"Detail overview
Specifications
model Number: st900mm0006
interface: sas 6gbits
cache: 64mb
capacity: 900gb

Performance:
spin Speed (rpm): 10000 Rpm
average Latency: 3.0ms
sustained Data Transfer Rate: 124mb/s
random Read Seek Time: 4.0ms
random Write Seek Time: 4.4ms

Physical:
height: 15.00mm (0.591 In)
width: 70.40mm (2.760 In)
length: 100.45mm (3.955 In)
weight: (typical) 212g (0.46 Lb)

Condition : New.
availability : In Stock.
mfg Warranty : None.
our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SAS-6GBPS/500GB-7200RPM/SEAGATE/ST3500414SS_169919.htm,Home/HARD DRIVES/SAS-6GBPS/500GB-7200RPM/ST3500414SS, Seagate Constellation ES ST3500414SS 500GB 7200RPM SAS 6Gb/s OEM HDD,http://www.serversuply.com//images/item/169919.jpg,SEAGATE CONSTELLATION ST3500414SS 500GB 7200RPM SAS(6GBPS) 16MB BUFFER 3.5INCH INTERNAL HARD DISK DRIVE. DELL OEM ,IN STOCK,ST3500414SS,169919,SEAGATE,50,New,Sever Supply,"Detail overview
Specifications:
Manufacturer : Seagate
Manufacturer Part Number: St3500414ss
Mfg Website Address: Www.seagate.com
Product Line : Constellation Es

General
Device Type: Hard Drive Internal
Width: 4 In
Depth: 5.8 In
Height: 1 In
Weight: 1.3 Lbs

Hard Drive
Form Factor: 3.5 X 1/3h
Capacity: 500 Gb
Interface Type: Serial Attached Scsi 2
Buffer Size: 16 Mb

Performance
Drive Transfer Rate: 600 Mbps (external)
Internal Data Rate: 150 Mbps
Seek Time: 8.5 Ms (average)
Track-to-track Seek Time: 0.5 Ms
Spindle Speed: 7200 Rpm

Reliability
Mtbf: 1200000 Hour(s)
Start Stop Cycles: 300000

Condition : Refurbished (dell Oem).
Availability : In Stock.
Our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SAS-12GBPS/600GB-15000RPM/WESTERN DIGITAL/HUC156060CSS200_210634.htm,Home/HARD DRIVES/SAS-12GBPS/600GB-15000RPM/HUC156060CSS200, WD HUC156060CSS200 Ultrastar C15K600 600GB 15K SAS 2.5&quot; Hdd ref,http://www.serversuply.com//images/item/210634.jpg,WESTERN DIGITAL HUC156060CSS200 ULTRASTAR C15K600 600GB 15000RPM SAS-12GBPS 128MB BUFFER 512N 2.5INCH ENTERPRISE HARD DRIVE. ,IN STOCK,HUC156060CSS200,210634,WESTERN DIGITAL,50,New,Sever Supply,"Detail overview
General Information :
Brand : Western Digital
Model : Huc156060css200
Product Line : Ultrastar
Product Series : C15k600
Product Name : Ultrastar C15k600 Huc156060css200 Hard Drive

Key Features :
Storage Capacity : 600 Gb
Enclosure : Internal
Number Of Heads : 6 / 4 / 3
Number Of Disks : 3 / 2 / 2
Interface : Sas-12gbps
Drive Dimensions : 2.5 Inch
Max Areal Density : 528 Gbits Per Square Inch
Mtbf : 2 Million Hours

Drive Performance :
Interface Transfer Rate (max) : 1200 Mbps
Sustained Transfer Rate (typ.) : 175 To 250 Mbps
Seek Time (read, Typical) : 2.9 / 3.1 Ms
Average Latency : <2.0 Ms
Rotational Speed : 15000 Rpm
Buffer : 128 Mb

Physical :
Z-height : 14.8 Mm
Dimensions ( W X D) : 70.1 X 100.45 Mm
Weight : 219 G



Condition : Brand New.
Availability : In Stock.
Server Supply Warranty : 30 Days."
